"fornavn";"år";"Andel av fødte (prosent)"
"Aase";"1952";0.266
"Aase";"1953";0.203
"Aase";"1954";0.189
"Aase";"1955";0.162
"Aase";"1956";0.146
"Aase";"1957";0.185
"Aase";"1958";0.130
"Aase";"1959";0.121
"Aase";"1960";0.124
"Aase";"1961";0.152
"Aase";"1962";0.094
"Aase";"1963";0.091
"Aase";"1964";0.097
"Aase";"1965";0.095
"Aase";"1966";0.100
"Aase";"1967";0.040
"Aase";"1968";0.049
"Aase";"1969";0.054
"Aase";"1970";0.058
"Aase";"1971";0.065
"Aase";"1972";0.021
"Aase";"1973";0.054
"Aase";"1974";0.032
"Aase";"1975";0.034
"Aase";"1976";0.044
"Aase";"1977";0.027
"Aase";"1978";0.012
"Aase";"1979";0.014
"Aase";"1980";0.017
"Aase";"1981";0.026
"Aase";"1982";0.025
"Aase";"1983";0.020
"Aase";"1984";0.014
"Aase";"1985";0.036
"Aase";"1986";.
"Aase";"1987";.
"Aase";"1988";.
"Aase";"1989";0.018
"Aase";"1990";0.015
"Aase";"1991";0.018
"Aase";"1992";0.014
"Aase";"1993";0.019
"Aase";"1994";.
"Aase";"1995";0.026
"Aase";"1996";0.012
"Aase";"1997";0.012
"Aase";"1998";.
"Aase";"1999";.
"Aase";"2000";0.021
"Aase";"2001";0.019
"Aase";"2002";.
"Aase";"2003";.
"Aase";"2004";.
"Aase";"2005";.
"Aase";"2006";.
"Aase";"2007";.
"Aase";"2008";0.012
"Aase";"2009";.
"Aase";"2010";0.015
"Aase";"2011";.
"Aase";"2012";.
"Aase";"2013";.
"Aase";"2014";0.013
"Aase";"2015";.
"Aase";"2016";0.017
"Aase";"2017";.
"Aase";"2018";0.014
"Aase";"2019";.
"Aase";"2020";.
"Aashild";"1880";0.016
"Aashild";"1881";0.000
"Aashild";"1882";0.000
"Aashild";"1883";0.012
"Aashild";"1884";0.000
"Aashild";"1885";0.010
"Aashild";"1886";0.000
"Aashild";"1887";0.000
"Aashild";"1888";0.000
"Aashild";"1889";0.008
"Aashild";"1890";0.000
"Aashild";"1891";0.000
"Aashild";"1892";0.000
"Aashild";"1893";0.019
"Aashild";"1894";0.006
"Aashild";"1895";0.006
"Aashild";"1896";0.000
"Aashild";"1897";0.000
"Aashild";"1898";0.005
"Aashild";"1899";0.025
"Aashild";"1900";0.010
"Aashild";"1901";0.014
"Aashild";"1902";0.000
"Aashild";"1903";0.005
"Aashild";"1904";0.005
"Aashild";"1905";0.014
"Aashild";"1906";0.005
"Aashild";"1907";0.027
"Aashild";"1908";0.026
"Aashild";"1909";0.025
"Aashild";"1910";0.017
"Aashild";"1911";0.017
"Aashild";"1912";0.032
"Aashild";"1913";0.012
"Aashild";"1914";0.032
"Aashild";"1915";0.036
"Aashild";"1916";0.020
"Aashild";"1917";0.046
"Aashild";"1918";0.008
"Aashild";"1919";0.054
"Aashild";"1920";0.031
"Aashild";"1921";0.033
"Aashild";"1922";0.034
"Aashild";"1923";0.034
"Aashild";"1924";0.040
"Aashild";"1925";0.046
"Aashild";"1926";0.046
"Aashild";"1927";0.040
"Aashild";"1928";0.036
"Aashild";"1929";0.046
"Aashild";"1930";0.051
"Aashild";"1931";0.052
"Aashild";"1932";0.096
"Aashild";"1933";0.026
"Aashild";"1934";0.041
"Aashild";"1935";0.036
"Aashild";"1936";0.051
"Aashild";"1937";0.069
"Aashild";"1938";0.047
"Aashild";"1939";0.041
"Aashild";"1940";0.031
"Aashild";"1941";0.051
"Aashild";"1942";0.046
"Aashild";"1943";0.050
"Aashild";"1944";0.028
"Aashild";"1945";0.020
"Aashild";"1946";0.039
"Aashild";"1947";0.019
"Aashild";"1948";0.058
"Aashild";"1949";0.026
"Aashild";"1950";0.046
"Aashild";"1951";0.044
"Aashild";"1952";0.039
"Aashild";"1953";0.029
"Aashild";"1954";0.028
"Aashild";"1955";0.016
